Topic,Count,Name,Representation,Representative_Docs
-1,2648,-1_presiden_kerja_aja_ada,"['presiden', 'kerja', 'aja', 'ada', 'ga', 'gak', 'jadi', 'ya', 'nya', 'masih']","['orang kalau udah buta emang susah orang jawa menganggap mereka paling top paling ok paling iya hasil nya presiden jawa hasil nya hari ini negara gk tau arah nya boro mau maju dia jalan kemana aja kagak tau ya anggaran habis terus yang sda terkuras terus negara tetap miskin', 'mereka penyakitan gak ya sekarang kok presiden gak ada bantu mereka ya pertanyaanpertanyaan itu yang membuat gue gak pernah percaya pemerintah pun nyokap gue gak pernah tuh bilang semoga presiden ini bantu anakanak itu nggak nyokap gue gak pernah bilang gitu', 'dah d ksh kesempatan jd presiden bisa ambil kebijakan apapun yg dia mau tp msh minta tongkat nabi musa ya gak aja lah emang benar bapak hanya omon suara aja lantang tp ga tegas ambil kebijakan dan selalu percaya dgn bawahan yg penjilat abs sampekan ke majikanmu']"
0,559,0_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['prabowo bangun kembali untuk rakyat presiden prabowo kembali ke lokasi bencana menegaskan rekonstruksi pascabencana rumah warga diganti negara listrik dan jalan dipulihkan gotong royong jadi kekuatan', 'prabowo bangun kembali saat presiden turun untuk ketiga kalinya ke lokasi banjir dan longsor negara menegaskan rekonstruksi pascabencana rumah warga diganti listrik jalan dan infrastruktur dipulihkan cepat bersama rakyat bangkit gotong royong', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
1,286,1_pasca_pulihkan_bangkit_infrastruktur,"['pasca', 'pulihkan', 'bangkit', 'infrastruktur', 'pemerintah', 'darurat', 'prabowo', 'akses', 'bencana', 'pusat']","['langkah cepat presiden prabowo bersama jajaran pemerintah prabowo pulihkan infrastruktur untuk bangkit pasca bencana', 'dalam diskusi bersama jajaran pemerintah presiden prabowo menekankan percepatan akses darurat prabowo pulihkan infrastruktur sebagai jalan agar masyarakat bangkit pasca bencana', 'presiden prabowo berdiskusi dengan jajaran pemerintah untuk percepatan akses darurat demi rakyat prabowo pulihkan infrastruktur agar wilayah terdampak bisa bangkit pasca bencana']"
2,241,2_toti_maksudnya_sebelah_malaysia,"['toti', 'maksudnya', 'sebelah', 'malaysia', 'negaranya', 'marah', 'kayaknya', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
3,202,3_siapa_suruh_jadi_presiden,"['siapa', 'suruh', 'jadi', 'presiden', 'lah', 'boneka', 'tua', 'ya', 'omon', 'dukung']","['lah siapa suruh udh tua jadi presiden', 'suruh siapa jadi presiden', 'lah siapa suruh jadi presiden']"
4,180,4_indonesia_republik_rakyat_presiden,"['indonesia', 'republik', 'rakyat', 'presiden', 'jakarta', 'sejarah', 'merdeka', 'pada', 'ke', 'aceh']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'presiden republik indonesia prabowo subianto menargetkan pemulihan aliran listrik dapat kembali normal persen secepatnya di seluruh wilayah terdampak bencana banjir bandang di sumatera presiden prabowosubianto listrik aceh idola smg indonesia', 'presiden republik indonesia prabowo subianto menargetkan pemulihan aliran listrik dapat kembali normal persen secepatnya di seluruh wilayah terdampak bencana banjir bandang di sumatera presiden prabowosubianto listrik aceh idola smg indonesia']"
5,134,5_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'man', 'meninjau', 'tinjau', 'kebutuhan', 'semuatanganibencana', 'subianto']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
6,134,6_pak_jd_gak_apa,"['pak', 'jd', 'gak', 'apa', 'aja', 'tdk', 'nya', 'klo', 'dia', 'jg']","['makanyaaa klo dah tua lansia g usah jdi presiden dah lah pak mulai besok pensiun ajaaaa dirumah enak pak menikmati hari tua daripada capek ya kan saya sbg wni jg sangat bersyukur klo bpk besok mau pensiun', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp awasgerombolansop', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp']"
7,120,7_rakyatnya_ada_jadi_presiden,"['rakyatnya', 'ada', 'jadi', 'presiden', 'soalnya', 'orang', 'ga', 'bukan', 'dia', 'mana']","['ya anak presiden ngomong enaknya saat bapaknya jadi orang nomor satu rakyatnya masih banyak makan nasi jagung sama gaplek karena tak mampu beli beras', 'ini kalo aku disuruh jadi presiden dipaksa pun ga mau sih bobroknya ni negara udah sampe ditahap mustahil bisa bener pantes yg dinaikin sama partai partai itu orang orang rusak semua soalnya emang udah serusak ini astaghfirullah', 'kalau jadi wapres susah sih nder soalnya bapakmu bukan presiden tapi masih ada opsi jadi menteri tenang masih ada peluang kerja kok apalagi kalau kamu punya pengalaman']"
8,91,8_penanganan_bencana_terdampak_terkendali,"['penanganan', 'bencana', 'terdampak', 'terkendali', 'percepatan', 'pastikan', 'cepat', 'sumatera', 'berjalan', 'huniankorbanbencana']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo minta percepatan penanganan bencana sumatera', 'semuatanganibencana bantuan presiden sudah cair untuk penanganan bencana ini menunjukkan kalau pemerintah sangat cepat dalam penanganan bencana']"
