Topic,Count,Name,Representation,Representative_Docs
-1,2703,-1_presiden_jadi_aja_ada,"['presiden', 'jadi', 'aja', 'ada', 'gak', 'ga', 'nya', 'ya', 'dia', 'masih']","['mobilitas dan ekonomi masyarakat menjadi prioritas utama dalam arahan presiden prabowo untuk segera prabowo pulihkan infrastruktur jalan dan akses yang rusak sebagai langkah awal bangkit pasca bencana', 'mau bilang capek tapi lebih capek pengungsi aceh yg listrik aja cuma dinyalain bahlil pas presiden di sana tiap hari bangun pagi cuma kepikiran itu aceh nanti cara pulihnya gimana ya allah bantuan dan donasi rakyat aja ga cukup masih pada lumpuh dan terisolasi', 'soal listrik emang ada kendala di lapangan karena kondisi alam yang menantang dan beberapa wilayah masih banjir tapi presiden prabowo optimis dalam seminggu ke depan listrik bisa pulih kembali di sebagian besar area ini bukti pemerintah juga zonauang']"
0,571,0_kerja_aku_ga_gue,"['kerja', 'aku', 'ga', 'gue', 'mama', 'mau', 'gak', 'buat', 'gua', 'ya']","['kalau kaya aku gak akan kerja sekarang bang buktinya aku masih kerja', 'kek mana rumah mau jalan kalo yg kerja aku doang urusan rumah ke aku makan ke aku sekarang utang juga ke aku jadi orang tua ga bisa mikir', 'kerja']"
1,531,1_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['kunjungan ketiga presiden prabowo menegaskan prabowo bangun kembali kehidupan warga rekonstruksi pascabencana berjalan rumah listrik dan jalan dipulihkan bersama semangat gotong royong', 'presiden prabowo hadir ketiga kalinya di lokasi bencana menegaskan prabowo bangun kembali rekonstruksi pascabencana rumah rusak diganti listrik jalan dan infrastruktur dipulihkan gotong royong jadi kekuatan', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
2,238,2_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'malaysia', 'kayaknya', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
3,150,3_ada_jadi_ya_presiden,"['ada', 'jadi', 'ya', 'presiden', 'rakyatnya', 'tuh', 'dia', 'ga', 'buahnya', 'orang']","['kalau jadi wapres susah sih nder soalnya bapakmu bukan presiden tapi masih ada opsi jadi menteri tenang masih ada peluang kerja kok apalagi kalau kamu punya pengalaman', 'nangis bgt jir sampe mau nonton aja jujur ga sanggup kek kenapa ya mayoritas org indo tuh naif dan bodoh kita bisa loh punya presiden begini kok bsbsnya malah milih org yg jelas punya riwayat kriminal sih', 'bener ni orangdaribcaranya ngomong aja keliatanga tau apa progress kerjaan anak buahnya bener cuma omon doang pak bapak tuh jd presiden bukan cuma buat pidato doang pak kesel asli']"
4,143,4_indonesia_rakyat_merdeka_presiden,"['indonesia', 'rakyat', 'merdeka', 'presiden', 'jakarta', 'dpr', 'jadi', 'aceh', 'sejarah', 'tapi']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
5,134,5_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'meninjau', 'tinjau', 'man', 'tamiang', 'kebutuhan', 'subianto']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
6,109,6_penanganan_bencana_percepatan_bahas,"['penanganan', 'bencana', 'percepatan', 'bahas', 'terdampak', 'terkendali', 'hambalang', 'sumatera', 'kesiapan', 'libur']","['presiden prabowo pimpin ratas bahas percepatan penanganan bencana dan kesiapan libur nataru presiden prabowo memanggil sejumlah menteri kabinet merah putih ke kediaman pribadinya di hambalang bogor jawa barat minggu untuk membahas penanganan bencana di sumatra', 'presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo minta percepatan penanganan bencana sumatera']"
7,86,7_hunian_huniankorbanbencana_memulihkan_terdampak,"['hunian', 'huniankorbanbencana', 'memulihkan', 'terdampak', 'korban', 'warga', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
8,67,8_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
