Topic,Count,Name,Representation,Representative_Docs
-1,2777,-1_presiden_aja_kerja_gak,"['presiden', 'aja', 'kerja', 'gak', 'ada', 'jadi', 'ga', 'nya', 'ya', 'masih']","['bahkan lebih awal dari itu sih yang dulu pada milih dia kalo punya otak dan hati nurani juga harusnya tau dari awal ini orang gak ada spek jadi presiden', 'soal listrik emang ada kendala di lapangan karena kondisi alam yang menantang dan beberapa wilayah masih banjir tapi presiden prabowo optimis dalam seminggu ke depan listrik bisa pulih kembali di sebagian besar area ini bukti pemerintah juga zonauang', 'gak jadi nabi pun gak apa pak gak punya tongkat nabi musa pun gak apa pak cuma jadi bapak yang sekarang dengan bener aja bisa gak sih bekerja lah selayaknya presiden pak']"
0,531,0_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['prabowo bangun kembali untuk rakyat presiden prabowo kembali ke lokasi bencana menegaskan rekonstruksi pascabencana rumah warga diganti negara listrik dan jalan dipulihkan gotong royong jadi kekuatan', 'presiden prabowo hadir ketiga kalinya di lokasi bencana menegaskan prabowo bangun kembali rekonstruksi pascabencana rumah rusak diganti listrik jalan dan infrastruktur dipulihkan gotong royong jadi kekuatan', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
1,239,1_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'malaysia', 'kayaknya', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
2,173,2_siapa_suruh_jadi_presiden,"['siapa', 'suruh', 'jadi', 'presiden', 'tua', 'omon', 'dukung', 'lu', 'ya', 'lah']","['lah siapa suruh jadi presiden', 'lah siapa suruh udh tua jadi presiden', 'suruh siapa jadi presiden']"
3,163,3_jadi_dia_bukan_presiden,"['jadi', 'dia', 'bukan', 'presiden', 'ada', 'kalau', 'rakyatnya', 'orang', 'soalnya', 'gak']","['ini aku suka beliau karena dia sangat mengayomi pokoknya ini orang kalo jadi presiden langsung maju dah negaranya hidup ume selain itu dia tuh suka berkebun ramah juga orangnya pokoknya ini minusnya ga nyata doang', 'kalau jadi wapres susah sih nder soalnya bapakmu bukan presiden tapi masih ada opsi jadi menteri tenang masih ada peluang kerja kok apalagi kalau kamu punya pengalaman', 'orang kalau udah buta emang susah orang jawa menganggap mereka paling top paling ok paling iya hasil nya presiden jawa hasil nya hari ini negara gk tau arah nya boro mau maju dia jalan kemana aja kagak tau ya anggaran habis terus yang sda terkuras terus negara tetap miskin']"
4,128,4_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'man', 'meninjau', 'tinjau', 'kebutuhan', 'semuatanganibencana', 'subianto']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
5,123,5_pak_jd_aja_lg,"['pak', 'jd', 'aja', 'lg', 'gak', 'kl', 'klo', 'apa', 'tdk', 'presiden']","['makanyaaa klo dah tua lansia g usah jdi presiden dah lah pak mulai besok pensiun ajaaaa dirumah enak pak menikmati hari tua daripada capek ya kan saya sbg wni jg sangat bersyukur klo bpk besok mau pensiun', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp awasgerombolansop']"
6,113,6_indonesia_rakyat_merdeka_indonesiaemas,"['indonesia', 'rakyat', 'merdeka', 'indonesiaemas', 'presiden', 'dpr', 'jadi', 'mereka', 'sejarah', 'bapak']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
7,99,7_aku_kerja_mama_gua,"['aku', 'kerja', 'mama', 'gua', 'ga', 'bgt', 'ku', 'ibu', 'ayah', 'mamah']","['dan minta maaf sama aku karna ga pernah bisa bikin keluarga yang cemara ibu sampe sekarang masih kerja dan aku sekarang kelas ibu selalu bilang untuk sukses dan kejar cita waktu itu ibu bilang ibu ikhlas kalo aku mau nyari ayah kandung ku tapi aku rasa', 'ternyata ayah kandung aku sejahat itu sama ibu jadi yang bikin aku pengen terus hidup ya ibu karna selama dia hidup aku rasa ibu ga pernah bahagia selalu rasa sakit yang dia terima sepanjang hidupnya ibu aku cuma kerja dan kerja demi aku dan ade i love ibu', 'jujur di situ sedih bgt karna mama berjuang se begitu besarnya tiap malem pusing mikirin biaya kuliah skrg aku udh kerja jd mskpn cape aku selalu inget perjuangan mama sm bpk aku biar aku bisa kuliah jd aku mau bantu lunasin hutang mama yg dipake buat aku kuliah']"
8,88,8_hunian_huniankorbanbencana_memulihkan_terdampak,"['hunian', 'huniankorbanbencana', 'memulihkan', 'terdampak', 'korban', 'warga', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
