Topic,Count,Name,Representation,Representative_Docs
-1,2924,-1_presiden_kerja_aja_gak,"['presiden', 'kerja', 'aja', 'gak', 'jadi', 'ada', 'ga', 'nya', 'ya', 'tapi']","['ya kalo udah tua ngapain jadi presiden', 'dah d ksh kesempatan jd presiden bisa ambil kebijakan apapun yg dia mau tp msh minta tongkat nabi musa ya gak aja lah emang benar bapak hanya omon suara aja lantang tp ga tegas ambil kebijakan dan selalu percaya dgn bawahan yg penjilat abs sampekan ke majikanmu', 'lagian waktu itu siapa yang suruh umur udah gak muda lagi tapi masih mau jd presiden']"
0,540,0_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['presiden prabowo hadir ketiga kalinya di lokasi bencana menegaskan prabowo bangun kembali rekonstruksi pascabencana rumah rusak diganti listrik jalan dan infrastruktur dipulihkan gotong royong jadi kekuatan', 'prabowo bangun kembali saat presiden turun untuk ketiga kalinya ke lokasi banjir dan longsor negara menegaskan rekonstruksi pascabencana rumah warga diganti listrik jalan dan infrastruktur dipulihkan cepat bersama rakyat bangkit gotong royong', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
1,236,1_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'malaysia', 'kayaknya', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
2,179,2_indonesia_republik_jakarta_rakyat,"['indonesia', 'republik', 'jakarta', 'rakyat', 'pada', 'presiden', 'sejarah', 'ke', 'merdeka', 'aceh']","['presiden republik indonesia prabowo subianto menargetkan pemulihan aliran listrik dapat kembali normal persen secepatnya di seluruh wilayah terdampak bencana banjir bandang di sumatera presiden prabowosubianto listrik aceh idola smg indonesia', 'presiden republik indonesia ri prabowo subianto memanggil sejumlah menteri kabinet merah putih ke hambalang kabupaten bogor provinsi jawa barat jabar untuk apa', 'presiden republik indonesia prabowo subianto memanggil sejumlah menteri kabinet merah putih ke kediaman pribadinya di hambalang bogor pada minggu desember untuk membahas penanganan bencana di sumatra serta kesiapan menghadapi liburan akhir tahun']"
3,154,3_ada_rakyatnya_mana_presiden,"['ada', 'rakyatnya', 'mana', 'presiden', 'itu', 'jadi', 'bukan', 'dia', 'ga', 'tuh']","['ini aku suka beliau karena dia sangat mengayomi pokoknya ini orang kalo jadi presiden langsung maju dah negaranya hidup ume selain itu dia tuh suka berkebun ramah juga orangnya pokoknya ini minusnya ga nyata doang', 'ya emg gampang cuma konteksnya beda ini pns yg kemarin bukan pns lha dikira sedikit bupatigubernur dan wakilnya itu dulu bukan pns banyak mantan sekda yg skrg jd pimpinan daerah tinggal ajukan pensiun atau resign bisa lsg nyalon presiden kalo emg ada parpol yg minat', 'ya anak presiden ngomong enaknya saat bapaknya jadi orang nomor satu rakyatnya masih banyak makan nasi jagung sama gaplek karena tak mampu beli beras']"
4,134,4_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'man', 'meninjau', 'tinjau', 'kebutuhan', 'semuatanganibencana', 'subianto']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau langsung para pengungsi korban bencana di langkat', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
5,92,5_penanganan_bencana_terkendali_terdampak,"['penanganan', 'bencana', 'terkendali', 'terdampak', 'percepatan', 'pastikan', 'cepat', 'sumatera', 'memanggil', 'berjalan']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo minta percepatan penanganan bencana sumatera', 'semuatanganibencana bantuan presiden sudah cair untuk penanganan bencana ini menunjukkan kalau pemerintah sangat cepat dalam penanganan bencana']"
6,82,6_huniankorbanbencana_hunian_memulihkan_terdampak,"['huniankorbanbencana', 'hunian', 'memulihkan', 'terdampak', 'warga', 'korban', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
7,79,7_hrs_saudi_ahlanwasahlanibhrs_reynhard,"['hrs', 'saudi', 'ahlanwasahlanibhrs', 'reynhard', 'arabia', 'ironis', 'dipojokkan', 'kriminal', 'super', 'sungguh']","['reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs', 'reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs', 'reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs']"
8,73,8_siapa_suruh_jadi_lah,"['siapa', 'suruh', 'jadi', 'lah', 'tua', 'dukung', 'presiden', 'ngotot', 'jd', 'lansia']","['lah siapa suruh jadi presiden', 'lah siapa suruh jadi presiden', 'suruh siapa jadi presiden']"
9,69,9_layaknya_inkompetensi_dino_betapa,"['layaknya', 'inkompetensi', 'dino', 'betapa', 'kompeten', 'ham', 'sedang', 'menjawab', 'anda', 'malah']","['pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham']"
10,66,10_kerja_yu_mulu_dikitdikit,"['kerja', 'yu', 'mulu', 'dikitdikit', 'rodi', 'bang', 'definisi', 'kak', 'capek', 'ntar']","['pak kerja pak', 'harus kerja ya', 'kerja']"
11,66,11_kemlu_india_kemenlu_kroasia,"['kemlu', 'india', 'kemenlu', 'kroasia', 'indonesia', 'sugiono', 'sumatera', 'inidiplomasi', 'diplomasi', 'negeri']","['menlu sugiono mewakili presiden prabowo subianto dalam ktt aseanindia ke di kuala lumpur malaysia dalam pidatonya sugiono menyoroti peluang kerja sama antara indonesia dan india dalam program mbg _', 'menlu sugiono menjadi salah pembicara di ktt aseanindia ke di kuala lumpur malaysia dlm pidatonya sugiono berbicara peluang indonesia amp india bekerja sama dlm mengerjakan programmakan bergizi gratis pertemuan berlangsung minggu ini dihadiri pm india', 'saya dan menlu radman optimistis banyak hal bisa kita follow up bersama setelah kunjungan beliau ke indonesia inidiplomasi kroasia kemlu kemenlu kabinetmerahputih anismatta']"
12,66,12_gaza_palestina_israel_hamas,"['gaza', 'palestina', 'israel', 'hamas', 'perdamaian', 'gencatan', 'senjata', 'turki', 'tolak', 'pasukan']","['menlu turkiye hamas tunjukkan niat positif untuk perdamaian gaza permanen israel harus miliki sikap sama', 'menlu ri buka suara soal israel tolak pasukan perdamaian turki di gaza', 'menlu turki hamas siap gencatan senjata permanen di gaza']"
