Topic,Count,Name,Representation,Representative_Docs
-1,2987,-1_presiden_aja_kerja_ada,"['presiden', 'aja', 'kerja', 'ada', 'gak', 'jadi', 'ga', 'nya', 'ya', 'masih']","['dah d ksh kesempatan jd presiden bisa ambil kebijakan apapun yg dia mau tp msh minta tongkat nabi musa ya gak aja lah emang benar bapak hanya omon suara aja lantang tp ga tegas ambil kebijakan dan selalu percaya dgn bawahan yg penjilat abs sampekan ke majikanmu', 'soal listrik emang ada kendala di lapangan karena kondisi alam yang menantang dan beberapa wilayah masih banjir tapi presiden prabowo optimis dalam seminggu ke depan listrik bisa pulih kembali di sebagian besar area ini bukti pemerintah juga zonauang', 'gak jadi nabi pun gak apa pak gak punya tongkat nabi musa pun gak apa pak cuma jadi bapak yang sekarang dengan bener aja bisa gak sih bekerja lah selayaknya presiden pak']"
0,515,0_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['presiden prabowo kembali ke daerah terdampak banjir longsor kali ketiga prabowo bangun kembali rekonstruksi pascabencana segera pulihkan rumah listrik jalan ajak gotong royong', 'kunjungan ketiga presiden prabowo menegaskan prabowo bangun kembali kehidupan warga rekonstruksi pascabencana berjalan rumah listrik dan jalan dipulihkan bersama semangat gotong royong', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
1,237,1_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'malaysia', 'kayaknya', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
2,131,2_indonesia_rakyat_merdeka_sejarah,"['indonesia', 'rakyat', 'merdeka', 'sejarah', 'presiden', 'jakarta', 'indonesiaemas', 'republik', 'tapi', 'jadi']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
3,130,3_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'meninjau', 'man', 'tinjau', 'subianto', 'semuatanganibencana', 'kebutuhan']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
4,121,4_rakyatnya_dia_jadi_presiden,"['rakyatnya', 'dia', 'jadi', 'presiden', 'mana', 'buahnya', 'orang', 'ada', 'bukan', 'pns']","['ini aku suka beliau karena dia sangat mengayomi pokoknya ini orang kalo jadi presiden langsung maju dah negaranya hidup ume selain itu dia tuh suka berkebun ramah juga orangnya pokoknya ini minusnya ga nyata doang', 'ya emg gampang cuma konteksnya beda ini pns yg kemarin bukan pns lha dikira sedikit bupatigubernur dan wakilnya itu dulu bukan pns banyak mantan sekda yg skrg jd pimpinan daerah tinggal ajukan pensiun atau resign bisa lsg nyalon presiden kalo emg ada parpol yg minat', 'bener ni orangdaribcaranya ngomong aja keliatanga tau apa progress kerjaan anak buahnya bener cuma omon doang pak bapak tuh jd presiden bukan cuma buat pidato doang pak kesel asli']"
5,100,5_penanganan_bencana_percepatan_terkendali,"['penanganan', 'bencana', 'percepatan', 'terkendali', 'terdampak', 'kesiapan', 'hambalang', 'libur', 'pastikan', 'cepat']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo pimpin ratas bahas percepatan penanganan bencana dan kesiapan libur nataru presiden prabowo memanggil sejumlah menteri kabinet merah putih ke kediaman pribadinya di hambalang bogor jawa barat minggu untuk membahas penanganan bencana di sumatra']"
6,82,6_huniankorbanbencana_hunian_memulihkan_terdampak,"['huniankorbanbencana', 'hunian', 'memulihkan', 'terdampak', 'warga', 'korban', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
7,74,7_pak_apa_lg_pake,"['pak', 'apa', 'lg', 'pake', 'tdk', 'drs', 'menhan', 'sby', 'kami', 'aja']","['tunggu apa lg pak presiden pak menhan amp untuk basmi pengkhianat bangsa gerombolan s op tanpa kompromi lg awasgerombolansop', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp awasgerombolansop']"
8,73,8_aku_mama_kerja_gua,"['aku', 'mama', 'kerja', 'gua', 'ku', 'ayah', 'kuliah', 'ibu', 'buat', 'ga']","['ternyata ayah kandung aku sejahat itu sama ibu jadi yang bikin aku pengen terus hidup ya ibu karna selama dia hidup aku rasa ibu ga pernah bahagia selalu rasa sakit yang dia terima sepanjang hidupnya ibu aku cuma kerja dan kerja demi aku dan ade i love ibu', 'dan minta maaf sama aku karna ga pernah bisa bikin keluarga yang cemara ibu sampe sekarang masih kerja dan aku sekarang kelas ibu selalu bilang untuk sukses dan kejar cita waktu itu ibu bilang ibu ikhlas kalo aku mau nyari ayah kandung ku tapi aku rasa', 'jujur di situ sedih bgt karna mama berjuang se begitu besarnya tiap malem pusing mikirin biaya kuliah skrg aku udh kerja jd mskpn cape aku selalu inget perjuangan mama sm bpk aku biar aku bisa kuliah jd aku mau bantu lunasin hutang mama yg dipake buat aku kuliah']"
